Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
2.986172914505005	0	20.632652	10.695591	73.0	10.0	20.632653061224488	10.695591076301964	1011	1011
6.059911489486694	1	27.837837	15.728291	78.0	12.0	27.83783783783784	15.728290079934574	1030	2041
9.20138430595398	2	37.22222	18.24592	93.0	11.0	37.22222222222222	18.245919550598526	1005	3046
11.798200845718384	3	35.92857	14.471471	69.0	12.0	35.92857142857143	14.471470878516639	1006	4052
14.903007507324219	4	38.77778	21.48959	114.0	17.0	38.77777777777778	21.4895897851914	1047	5099
17.565152883529663	5	35.068966	18.382772	87.0	15.0	35.06896551724138	18.382771233962256	1017	6116
20.34395670890808	6	43.869564	14.806886	72.0	18.0	43.869565217391305	14.806885436603581	1009	7125
23.52300477027893	7	63.52941	39.945724	158.0	20.0	63.529411764705884	39.945724422696095	1080	8205
26.50801134109497	8	69.53333	33.81689	143.0	29.0	69.53333333333333	33.81689255715584	1043	9248
29.471972465515137	9	62.8125	20.752165	106.0	27.0	62.8125	20.75216479671458	1005	10253
32.37712812423706	10	61.235294	20.258709	121.0	35.0	61.23529411764706	20.258707385060255	1041	11294
35.56358790397644	11	70.333336	31.304243	139.0	36.0	70.33333333333333	31.304241814098543	1055	12349
38.618215799331665	12	72.92857	37.69514	154.0	38.0	72.92857142857143	37.69513853785067	1021	13370
41.89144277572632	13	87.38461	34.66441	172.0	48.0	87.38461538461539	34.66440972777624	1136	14506
44.993446826934814	14	96.181816	45.282585	200.0	45.0	96.18181818181819	45.28258381203766	1058	15564
47.96187448501587	15	86.166664	29.849157	149.0	34.0	86.16666666666667	29.849157814287192	1034	16598
50.90297031402588	16	81.07692	24.411413	122.0	54.0	81.07692307692308	24.41141453835303	1054	17652
54.16186189651489	17	104.6	43.47229	192.0	61.0	104.6	43.47229002479626	1046	18698
57.30686044692993	18	107.9	38.624992	177.0	40.0	107.9	38.62499190938426	1079	19777
60.43290567398071	19	95.166664	33.05761	148.0	40.0	95.16666666666667	33.05760964672969	1142	20919
63.49399542808533	20	116.666664	50.113205	200.0	45.0	116.66666666666667	50.11320517920735	1050	21969
66.65809082984924	21	125.75	38.37887	200.0	79.0	125.75	38.37886788325054	1006	22975
70.31505799293518	22	108.6	38.580303	181.0	47.0	108.6	38.5803058567451	1086	24061
73.48340320587158	23	94.0	37.668407	167.0	40.0	94.0	37.66840972099952	1034	25095
76.84783053398132	24	91.90909	39.97603	189.0	45.0	91.9090909090909	39.97602587336689	1011	26106
80.94787240028381	25	108.2	36.24031	188.0	66.0	108.2	36.240309049454865	1082	27188
85.40205526351929	26	165.42857	25.286118	200.0	127.0	165.42857142857142	25.286117833745077	1158	28346
89.76612305641174	27	186.83333	28.121265	200.0	124.0	186.83333333333334	28.121265184119217	1121	29467
93.4972288608551	28	149.28572	29.065022	200.0	110.0	149.28571428571428	29.065022109127693	1045	30512
97.11698246002197	29	139.25	26.404308	184.0	112.0	139.25	26.404308360568734	1114	31626
101.0016303062439	30	123.55556	24.703176	153.0	61.0	123.55555555555556	24.703176184050644	1112	32738
103.85437560081482	31	120.666664	19.737162	140.0	77.0	120.66666666666667	19.73716179078328	1086	33824
106.8112564086914	32	120.55556	12.544243	139.0	104.0	120.55555555555556	12.544242691025953	1085	34909
110.15068435668945	33	112.44444	26.085802	139.0	47.0	112.44444444444444	26.085803338261776	1012	35921
113.07998728752136	34	120.111115	6.522516	129.0	107.0	120.11111111111111	6.522515609528521	1081	37002
116.03438568115234	35	113.22222	17.293402	141.0	74.0	113.22222222222223	17.293401296305525	1019	38021
119.88643980026245	36	102.0	21.921347	125.0	51.0	102.0	21.92134700572605	1122	39143
124.57902455329895	37	98.0	23.798395	122.0	39.0	98.0	23.79839566785199	1078	40221
128.30316066741943	38	90.083336	27.723211	113.0	34.0	90.08333333333333	27.72321029189962	1081	41302
132.68149852752686	39	67.3125	31.764208	114.0	25.0	67.3125	31.76420695924896	1077	42379
136.0861873626709	40	75.42857	33.457253	119.0	26.0	75.42857142857143	33.457252653229624	1056	43435
140.42119216918945	41	93.454544	22.463562	115.0	56.0	93.45454545454545	22.463560943179377	1028	44463
145.73355531692505	42	108.5	18.784302	133.0	57.0	108.5	18.78430195668713	1085	45548
150.54565024375916	43	117.888885	9.666028	137.0	105.0	117.88888888888889	9.666028075969576	1061	46609
154.54926776885986	44	118.0	9.7866125	130.0	100.0	118.0	9.786612170602131	1062	47671
158.61059617996216	45	131.125	7.30475	146.0	125.0	131.125	7.30475016684349	1049	48720
161.72005105018616	46	125.375	9.150649	140.0	112.0	125.375	9.150648884095597	1003	49723
165.3447322845459	47	125.375	11.926206	145.0	111.0	125.375	11.926205389812806	1003	50726
169.51280808448792	48	122.77778	12.090196	141.0	106.0	122.77777777777777	12.090196007764838	1105	51831
172.23731660842896	49	112.77778	14.927811	138.0	92.0	112.77777777777777	14.927809825049335	1015	52846
175.37022733688354	50	113.888885	15.9822445	137.0	86.0	113.88888888888889	15.982243233208287	1025	53871
179.76865696907043	51	119.22222	20.020977	166.0	88.0	119.22222222222223	20.02097665382085	1073	54944
184.7604763507843	52	116.333336	9.006171	132.0	103.0	116.33333333333333	9.006170724070865	1047	55991
187.71400213241577	53	117.333336	11.274357	138.0	100.0	117.33333333333333	11.274356350191843	1056	57047
190.7899477481842	54	131.875	20.545301	165.0	108.0	131.875	20.545300557548433	1055	58102
194.18041515350342	55	134.75	25.796076	188.0	108.0	134.75	25.79607528287976	1078	59180
