Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
3.1022891998291016	0	22.333334	11.912644	65.0	8.0	22.333333333333332	11.912645009027639	1005	1005
5.905869960784912	1	32.15625	19.89678	108.0	10.0	32.15625	19.896779536837112	1029	2034
8.983058214187622	2	31.575758	19.356356	93.0	10.0	31.575757575757574	19.356355628422353	1042	3076
11.864026308059692	3	32.870968	16.155977	79.0	15.0	32.87096774193548	16.155977492584437	1019	4095
14.869557857513428	4	40.84	21.392859	103.0	13.0	40.84	21.392858621511994	1021	5116
17.812676429748535	5	64.0625	27.882496	119.0	27.0	64.0625	27.88249618936583	1025	6141
21.137258052825928	6	68.13333	33.70631	149.0	38.0	68.13333333333334	33.706313289286854	1022	7163
24.30120825767517	7	93.666664	36.4242	184.0	38.0	93.66666666666667	36.42419830582716	1124	8287
27.485758066177368	8	85.0	50.34382	199.0	19.0	85.0	50.34381789256751	1020	9307
30.617311716079712	9	105.5	41.56501	169.0	39.0	105.5	41.56500932274646	1055	10362
33.95923042297363	10	87.53846	54.003727	169.0	19.0	87.53846153846153	54.003725490598384	1138	11500
36.86785817146301	11	131.5	46.840153	200.0	52.0	131.5	46.84015371452148	1052	12552
40.46260738372803	12	165.85715	39.908566	200.0	108.0	165.85714285714286	39.908568973981275	1161	13713
43.58067297935486	13	169.5	47.510525	200.0	74.0	169.5	47.510525149697095	1017	14730
46.92071509361267	14	142.25	50.51918	200.0	61.0	142.25	50.51917952619579	1138	15868
49.939098596572876	15	129.25	64.52664	200.0	44.0	129.25	64.52664178461482	1034	16902
53.23716926574707	16	123.77778	41.92527	170.0	28.0	123.77777777777777	41.92527155620734	1114	18016
56.585047006607056	17	112.4	48.92484	177.0	27.0	112.4	48.924840316550856	1124	19140
59.438870429992676	18	129.0	36.67424	164.0	40.0	129.0	36.6742416417845	1032	20172
62.44233226776123	19	128.375	63.294823	200.0	21.0	128.375	63.294821075661474	1027	21199
66.3113157749176	20	169.5	21.12463	193.0	133.0	169.5	21.12463017427761	1017	22216
69.9183201789856	21	157.14285	57.956707	200.0	24.0	157.14285714285714	57.95670445976665	1100	23316
73.7535810470581	22	200.0	0.0	200.0	200.0	200.0	0.0	1200	24516
77.60476183891296	23	200.0	0.0	200.0	200.0	200.0	0.0	1200	25716
81.69270014762878	24	185.83333	9.889668	200.0	173.0	185.83333333333334	9.889669132764531	1115	26831
84.99869418144226	25	153.42857	8.649643	165.0	141.0	153.42857142857142	8.649643144697487	1074	27905
87.76169562339783	26	130.125	39.453888	167.0	30.0	130.125	39.45388922527157	1041	28946
90.98183751106262	27	135.75	15.5221615	153.0	105.0	135.75	15.522161576275387	1086	30032
94.19808530807495	28	148.14285	14.227023	176.0	133.0	148.14285714285714	14.227022290883856	1037	31069
97.46530628204346	29	160.0	18.958601	193.0	134.0	160.0	18.95860151563325	1120	32189
101.33712363243103	30	184.16667	14.194091	200.0	160.0	184.16666666666666	14.194091102364471	1105	33294
104.55526852607727	31	195.66667	6.155395	200.0	186.0	195.66666666666666	6.1553951042064625	1174	34468
108.01719188690186	32	199.83333	0.37267798	200.0	199.0	199.83333333333334	0.3726779962499649	1199	35667
111.30966520309448	33	199.66667	0.745356	200.0	198.0	199.66666666666666	0.7453559924999298	1198	36865
114.68578171730042	34	200.0	0.0	200.0	200.0	200.0	0.0	1200	38065
117.8650918006897	35	198.0	4.472136	200.0	188.0	198.0	4.47213595499958	1188	39253
121.04516124725342	36	200.0	0.0	200.0	200.0	200.0	0.0	1200	40453
124.44923734664917	37	200.0	0.0	200.0	200.0	200.0	0.0	1200	41653
128.08202409744263	38	200.0	0.0	200.0	200.0	200.0	0.0	1200	42853
132.53501534461975	39	200.0	0.0	200.0	200.0	200.0	0.0	1200	44053
138.6553556919098	40	200.0	0.0	200.0	200.0	200.0	0.0	1200	45253
145.96047973632812	41	200.0	0.0	200.0	200.0	200.0	0.0	1200	46453
152.2521584033966	42	200.0	0.0	200.0	200.0	200.0	0.0	1200	47653
158.63315296173096	43	200.0	0.0	200.0	200.0	200.0	0.0	1200	48853
163.97837495803833	44	200.0	0.0	200.0	200.0	200.0	0.0	1200	50053
168.92245626449585	45	200.0	0.0	200.0	200.0	200.0	0.0	1200	51253
173.64443707466125	46	200.0	0.0	200.0	200.0	200.0	0.0	1200	52453
177.97196316719055	47	200.0	0.0	200.0	200.0	200.0	0.0	1200	53653
182.68910884857178	48	200.0	0.0	200.0	200.0	200.0	0.0	1200	54853
187.84589672088623	49	197.16667	6.335526	200.0	183.0	197.16666666666666	6.335525936249404	1183	56036
193.01709508895874	50	196.16667	6.2826924	200.0	183.0	196.16666666666666	6.2826922749902545	1177	57213
197.2742259502411	51	189.5	13.438129	200.0	164.0	189.5	13.438129830200829	1137	58350
201.76867818832397	52	190.66667	6.101002	200.0	181.0	190.66666666666666	6.101001739241042	1144	59494
205.35335206985474	53	171.33333	10.225241	181.0	150.0	171.33333333333334	10.225241100118645	1028	60522
210.9731216430664	54	167.33333	9.012337	184.0	159.0	167.33333333333334	9.01233722306385	1004	61526
216.0046582221985	55	155.71428	14.369753	181.0	135.0	155.71428571428572	14.369752813405222	1090	62616
218.9618890285492	56	145.28572	8.171628	160.0	136.0	145.28571428571428	8.171628369185767	1017	63633
222.74463558197021	57	126.5	39.06405	151.0	24.0	126.5	39.06404996924922	1012	64645
228.91708254814148	58	112.0	42.796677	143.0	31.0	112.0	42.79667692187742	1008	65653
